variable,treatment,value
fib_serum,mg,2611.9
fib_serum,mg,1079.625
fib_serum,mg,1880.275
fib_serum,mg,1168.55
fib_serum,mg,1712.075
fib_serum,mg,1847.375
fib_serum,mg,1157.025
fib_serum,mg,773.675
fib_serum,mg,760.375
fib_serum,mg,4622.525
fib_serum,mg,772.6
fib_serum,mg,1653.35
fib_serum,mg,2320.925
fib_serum,mg,2135.1
fib_serum,mg,722.8
fib_serum,mg,800.64
fib_serum,mg,764.86
fib_serum,mg,1001.74
fib_serum,mg,2619.08
fib_serum,mg,966.94
fib_serum,mg,452.24
fib_serum,mg,1422.78
fib_serum,mg,478.22
fib_serum,mg,597.74
fib_serum,mg,941.96
fib_serum,mg,1159.52
fib_serum,mg,9569.42
fib_serum,mg,1176.5
fib_serum,mg,957.68
fib_serum,mg,1119.56
fib_serum,mg,490.22
fib_serum,mg,963.48
fib_serum,mg,875.74
fib_serum,mg,1771.28
fib_serum,mg,419.6
fib_serum,mg,784.18
fib_serum,mg,684.66
fib_serum,mg,435.32
fib_serum,mg,749.36
fib_serum,mg,651.28
fib_serum,mg,536.14
fib_serum,mg,736.4
fib_serum,mg,814.64
fib_serum,mg,1041.68
fib_serum,mg,640.16
fib_serum,mg,647.88
fib_serum,mg,1884.16
fib_serum,mg,727.74
fib_serum,mg,809.86
fib_serum,mg,1533.8
fib_serum,mg,871
fib_serum,control,3010.625
fib_serum,control,735.2
fib_serum,control,856.05
fib_serum,control,1459.75
fib_serum,control,719.8
fib_serum,control,884.575
fib_serum,control,3244.525
fib_serum,control,722.275
fib_serum,control,978.125
fib_serum,control,565.15
fib_serum,control,479.225
fib_serum,control,808.55
fib_serum,control,641.475
fib_serum,control,327.2
fib_plasma,mg,3295.52
fib_plasma,mg,2101.52
fib_plasma,mg,420.78
fib_plasma,mg,2645.72
fib_plasma,mg,2260.14
fib_plasma,mg,2484.41
fib_plasma,mg,2252.18
fib_plasma,mg,2708.72
fib_plasma,mg,4126.95
fib_plasma,mg,3524.57
fib_plasma,mg,2939.29
fib_plasma,mg,2973.78
fib_plasma,mg,3178.74
fib_plasma,mg,2099.59
fib_plasma,mg,2084.22
fib_plasma,mg,4167.52
fib_plasma,mg,3322.66
fib_plasma,mg,2941.58
fib_plasma,mg,2298.13
fib_plasma,mg,2877.79
fib_plasma,control,1976.11
fib_plasma,control,2407.79
fib_plasma,control,4750.14
fib_plasma,control,6483.13
fib_plasma,control,5389.21
fib_plasma,control,4663.52
fib_plasma,control,3135.64
fib_plasma,control,1929.46
fib_plasma,control,5381.98
fib_plasma,control,5610.03
fga,mg,19.29310338
fga,mg,20.04259988
fga,mg,22.42981944
fga,mg,20.37517522
fga,mg,21.04259988
fga,mg,20.0019579
fga,mg,19.61395848
fga,mg,20.55449892
fga,mg,20.04259988
fga,mg,19.9881521
fga,mg,18.83223486
fga,mg,18.65463952
fga,mg,20.38574446
fga,mg,19.8611778
fga,mg,20.59149313
fga,mg,20.24190869
fga,mg,19.53366623
fga,mg,19.60305761
fga,mg,20.75531793
fga,mg,20.40665345
fga,mg,20.10789134
fga,mg,18.67754761
fga,mg,19.80486522
fga,mg,20.06907209
fga,mg,20.24190869
fga,mg,20.93156857
fga,mg,20.24190869
fga,mg,20.02917937
fga,mg,19.77078647
fga,mg,20.10789134
fga,mg,19.49450796
fga,mg,19.5188625
fga,mg,19.88586465
fga,mg,19.4478581
fga,mg,19.77153783
fga,mg,20.80341222
fga,mg,19.70743834
fga,mg,19.45892922
fga,mg,19.62827109
fga,mg,22.14879929
fga,mg,19.41431361
fga,mg,19.57794877
fga,mg,19.21030035
fga,mg,20.01563283
fga,mg,20.18253014
fga,mg,19.75676153
fga,mg,19.9881521
fga,mg,18.92932488
fga,mg,19.49199398
fga,mg,20.86514121
fga,mg,19.42903276
fga,mg,19.27065349
fga,mg,19.22159656
fga,mg,20.31008019
fga,mg,20.4169954
fga,mg,20.10789134
fga,mg,19.9162804
fga,mg,20.0950673
fga,mg,20.36452798
fga,mg,19.741806
fga,mg,20.47753694
fga,mg,19.8212586
fga,mg,20.3321065
fga,mg,17.86752007
fga,mg,20.39623684
fga,mg,20.42726373
fga,mg,20.47753694
fga,mg,19.82061683
fga,mg,19.36835938
fga,mg,19.58995831
fga,mg,20.25349666
fga,mg,19.90367006
fga,mg,20.45763738
fga,mg,20.0019579
fga,mg,18.88122452
fga,mg,19.74642739
fga,mg,19.77304581
fga,mg,19.7041485
fga,mg,18.81973316
fga,mg,19.30065866
fga,mg,19.34347852
fga,mg,19.19626592
fga,mg,19.18799233
fga,mg,20.32113538
fga,mg,20.12060239
fga,mg,20.72234061
fga,control,19.71037765
fga,control,19.36926719
fga,control,19.64405518
fga,control,20.0019579
fga,control,19.53182119
fga,control,19.76751042
fga,control,19.28766504
fga,control,19.4149061
fga,control,20.0950673
fga,control,20.31008019
fga,control,20.4374595
fga,control,20.59149313
fga,control,20.96013772
fga,control,19.50872134
fga,control,20.84230123
fga,control,20.14569337
fga,control,21.16422933
fga,control,20.71397713
fga,control,20.47753694
fga,control,20.45763738
fga,control,20.20657562
fga,control,19.96013772
fga,control,19.58515694
fga,control,20.46762147
fga,control,19.66305944
fga,control,20.39623684
fga,control,20.77152816
fga,control,18.5164849
fga,control,19.36739555
fga,control,19.86419673
fga,control,20.4374595
fga,control,19.8562705
fga,control,20.23022688
fga,control,19.93047315
fga,control,19.3635958
fga,control,20.25349666
fga,control,19.83544444
fgb,mg,14.18492957
fgb,mg,12.78600206
fgb,mg,19.6578191
fgb,mg,14.58931173
fgb,mg,13.52430908
fgb,mg,13.42051293
fgb,mg,12.92564716
fgb,mg,15.18400748
fgb,mg,13.3220408
fgb,mg,12.04111838
fgb,mg,11.95974842
fgb,mg,11.53523649
fgb,mg,14.53605897
fgb,mg,13.0936866
fgb,mg,14.03387893
fgb,mg,14.08750428
fgb,mg,13.18366484
fgb,mg,12.04288027
fgb,mg,13.18797678
fgb,mg,13.46256618
fgb,mg,13.54050344
fgb,mg,12.02639895
fgb,mg,11.25839526
fgb,mg,14.18479013
fgb,mg,11.79434682
fgb,mg,13.63251816
fgb,mg,13.62661025
fgb,mg,13.01380245
fgb,mg,12.80660198
fgb,mg,14.31382545
fgb,mg,12.2052862
fgb,mg,12.67642874
fgb,mg,13.81287922
fgb,mg,12.04155307
fgb,mg,12.15198372
fgb,mg,13.81168576
fgb,mg,11.42664215
fgb,mg,12.07912807
fgb,mg,12.45924205
fgb,mg,13.68412399
fgb,mg,12.0029732
fgb,mg,11.88777656
fgb,mg,12.49521047
fgb,mg,11.95190028
