treatment,value
GWU,2611.9
GWU,1079.625
GWU,50
GWU,1880.275
GWU,1168.55
GWU,1712.075
GWU,1847.375
GWU,1157.025
GWU,773.675
GWU,760.375
GWU,4622.525
GWU,772.6
GWU,1653.35
GWU,2320.925
MGNet,2135.1
MGNet,722.8
MGNet,800.64
MGNet,764.86
MGNet,1001.74
MGNet,2619.08
MGNet,966.94
MGNet,452.24
MGNet,1422.78
MGNet,478.22
MGNet,597.74
MGNet,941.96
MGNet,1159.52
MGNet,9569.42
MGNet,1176.5
MGNet,957.68
MGNet,1119.56
MGNet,490.22
MGNet,963.48
MGNet,875.74
MGNet,1771.28
MGNet,419.6
MGNet,784.18
MGNet,684.66
MGNet,435.32
MGNet,749.36
MGNet,651.28
MGNet,536.14
MGNet,736.4
MGNet,814.64
MGNet,1041.68
MGNet,640.16
MGNet,647.88
MGNet,1884.16
MGNet,727.74
MGNet,809.86
MGNet,1533.8
MGNet,871
